#{"t_start": 1756770810.6748064, "env_id": "None"}
r,l,t
7.0,50,0.007517
-5.0,50,0.013432
-2.0,50,0.01778
-4.0,50,0.022289
6.0,50,0.027797
-10.0,50,0.033322
6.0,50,0.038706
-7.0,50,0.042708
-2.0,50,0.050232
-1.0,50,0.057277
3.0,50,0.060827
-1.0,50,0.065333
11.0,50,0.070763
1.0,50,0.076796
6.0,50,0.080341
-16.0,50,0.08534
10.0,50,0.089856
-9.0,50,0.093364
-3.0,50,0.09887
-2.0,50,0.103399
-44.0,50,0.152267
-44.0,50,0.189969
-43.0,50,0.237725
1.0,50,0.277618
-29.0,50,0.317753
-45.0,50,0.359429
-31.0,50,0.407306
1.0,50,0.450135
1.0,50,0.492529
3.0,50,0.533443
3.0,50,0.579612
0.0,50,0.621192
2.0,50,0.67978
1.0,50,0.719856
1.0,50,0.7637
0.0,50,0.803855
2.0,50,0.843332
0.0,50,0.890843
1.0,50,0.938618
-1.0,50,0.986794
3.0,50,1.037721
2.0,50,1.079613
1.0,50,1.12352
0.0,50,1.167421
2.0,50,1.217494
-49.0,50,1.262563
2.0,50,1.307674
1.0,50,1.349149
-5.0,50,1.397359
1.0,50,1.438902
1.0,50,1.483528
1.0,50,1.523093
-2.0,50,1.570167
-1.0,50,1.617296
0.0,50,1.660952
3.0,50,1.709863
0.0,50,1.760036
0.0,50,1.804245
-42.0,50,1.844747
-38.0,50,1.889903
1.0,50,1.94159
-1.0,50,1.985118
0.0,50,2.028017
1.0,50,2.067617
1.0,50,2.108693
2.0,50,2.150377
1.0,50,2.198523
1.0,50,2.235451
2.0,50,2.283672
2.0,50,2.323725
0.0,50,2.374389
0.0,50,2.423639
0.0,50,2.464335
2.0,50,2.502441
-36.0,50,2.543334
3.0,50,2.588876
0.0,50,2.636506
1.0,50,2.676485
0.0,50,2.722569
1.0,50,2.778116
3.0,50,2.829141
2.0,50,2.87228
-1.0,50,2.916311
-1.0,50,2.957519
-41.0,50,3.00158
1.0,50,3.043635
1.0,50,3.088953
0.0,50,3.135687
0.0,50,3.184657
3.0,50,3.227942
0.0,50,3.272488
1.0,50,3.317277
2.0,50,3.362273
0.0,50,3.402395
-2.0,50,3.441099
0.0,50,3.482649
0.0,50,3.523385
-1.0,50,3.563574
1.0,50,3.604725
1.0,50,3.648345
1.0,50,3.704583
1.0,50,3.757307
0.0,50,3.794653
1.0,50,3.834778
-1.0,50,3.88031
-1.0,50,3.923577
1.0,50,3.969188
-2.0,50,4.018347
1.0,50,4.060586
2.0,50,4.105583
0.0,50,4.147734
0.0,50,4.186277
0.0,50,4.228871
1.0,50,4.271282
-2.0,50,4.315477
-1.0,50,4.358657
0.0,50,4.402736
1.0,50,4.447393
-1.0,50,4.484427
0.0,50,4.527536
3.0,50,4.575342
1.0,50,4.613872
-3.0,50,4.652782
-3.0,50,4.690652
-1.0,50,4.746479
3.0,50,4.799948
2.0,50,4.85413
0.0,50,4.895153
3.0,50,4.942972
3.0,50,4.98355
1.0,50,5.024292
1.0,50,5.067255
3.0,50,5.114877
-3.0,50,5.160691
1.0,50,5.220231
-48.0,50,5.269012
2.0,50,5.340826
0.0,50,5.400366
1.0,50,5.470895
1.0,50,5.512604
-4.0,50,5.557282
-1.0,50,5.602585
1.0,50,5.654477
-1.0,50,5.708857
0.0,50,5.750308
0.0,50,5.791156
-49.0,50,5.837493
1.0,50,5.894632
0.0,50,5.946293
-36.0,50,5.988662
-1.0,50,6.030057
-2.0,50,6.06955
0.0,50,6.113615
1.0,50,6.153376
1.0,50,6.200619
2.0,50,6.248099
1.0,50,6.300882
-1.0,50,6.354532
0.0,50,6.393601
0.0,50,6.434496
0.0,50,6.48442
3.0,50,6.526264
-10.0,50,6.572223
-1.0,50,6.617306
-3.0,50,6.664635
2.0,50,6.706904
1.0,50,6.747883
-1.0,50,6.788754
4.0,50,6.834719
-42.0,50,6.876752
0.0,50,6.919258
2.0,50,6.962193
0.0,50,7.006799
1.0,50,7.050113
1.0,50,7.096314
1.0,50,7.137757
0.0,50,7.19747
1.0,50,7.244219
0.0,50,7.283159
0.0,50,7.323287
1.0,50,7.368552
1.0,50,7.410138
1.0,50,7.459714
1.0,50,7.502597
-2.0,50,7.547654
-1.0,50,7.583499
1.0,50,7.625005
0.0,50,7.672508
2.0,50,7.722385
0.0,50,7.772433
-2.0,50,7.833192
2.0,50,7.878445
-10.0,50,7.927654
0.0,50,7.972499
-1.0,50,8.039426
2.0,50,8.095167
1.0,50,8.144651
0.0,50,8.186461
-2.0,50,8.228565
1.0,50,8.269558
